New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
34 r - 34 r,477,,[0000-00-00],,,,,Document date,Cawode,archbishop's manor,,"Undated, but document appears with others, some dated 1383 and 1384; perhaps 1382 when estates of canon and prebendary ratified (Fasti, p. 42)",,,,,,,,,,,,,
34 r - 34 r,478,,1383-05-08,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
34 r - 34 r,479,,1383-05-08,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
34 r - 34 r,480,,1380-02-14,,,,,Document date,Westm',archbishop's manor near,,,,,,,,,,,,,,,
34 r - 34 r,481,,1383-12-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
34 r - 34 r,482,,1383-12-09,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
34 r - 34 r,483,,[0000-00-00],,,,,Document date,,,,Undated, incomplete,,,,,,,,,,,,
34 v - 34 v,484,,1381-07-12,,,,,Document date,Beverl',archbishop's manor,,,,,,,,,,,,,,,
34 v - 35 v,485,,1379-01-20,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
36 r - 36 r,486,,1374-06-17,,,,,Event date,beate Marie ***,parish church,,,,,,,,,,,,,,,
36 r - 36 v,487,,1374-06-24,,,,,Event date,"St James within Lonon, 'capella de la hermitage'",chapel,,,[1374]-06-24,,,,,Document date,Claveryng',,,1374-06-24,Hadham,,
36 v - 36 v,488,,1374-06-24,,,,,Document date,Claveryng',,,,,,,,,,,,,,,,
36 v - 36 v,489,,[1374-06-24],,,,,Document date,Claveryng',,,"Dated on the day and year abovewritten, therefore presumably on 24 June 1374",,,,,,,,,,,,,
36 v - 36 v,490,,[1374]-06-26,,,,,Document date,Claveryng',,,"Dated in the year abovewritten, therefore presumably 1374",,,,,,,,,,,,,
36 v - 36 v,491,,[1374-06-24],,,,,Document date,Claveryng',,,"Dated on the day and year abovewritten, therefore presumably on 24 June 1374",,,,,,,,,,,,,
36 v - 36 v,492,,[0000-00-00],,,,,Event date,,,,"Undated, but oath presumably taken around 24 June 1374",,,,,,,,,,,,,
36 v - 36 v,493,,[1374]-07-27,,,,,Document date,Claveryng',,,"Dated in the year abovewritten, therefore presumably 1374",,,,,,,,,,,,,
37 r - 37 r,494,,[1374]-07-27,,,,,Memorandum date,Claveryng',,,,,,,,,,,,,,,,
37 r - 37 r,495,,[1374]-07-17,,,,,Event date,Claveryng',in archbishop's chamber at,,Dated in the second year since the archbishop's institution,,,,,,,,,,,,,
37 r - 37 r,496,,1374-06-11,,,,,Document date,London',,,,,,,,,,,,,,,,
37 r - 37 r,497,,1374-10-03,,,,,Document date,Treton,parish church,,,,,,,,,,,,,,,
37 r - 37 r,498,,1374-10-22,,,,,Document date,London',,,,,,,,,,,,,,,,
37 v - 37 v,499,,1374-10-23,,,,,Document date,London',,,,,,,,,,,,,,,,
37 v - 37 v,500,,1374-11-10,,,,,Document date,Suthwell,,,,,,,,,,,,,,,,
37 v - 37 v,501,,1374-12-20,,,,,Document date,Thorp,,,,,,,,,,,,,,,,
37 v - 37 v,502,,1374-12-20,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
37 v - 37 v,503,,1374-11-21,,,,,Memorandum date,Burghbrig',,,,,,,,,,,,,,,,
37 v - 37 v,504,,1374-12-22,,,,,Memorandum date,Thorp',,,,,,,,,,,,,,,,
37 v - 37 v,505,,1375-03-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,506,,1375-03-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,507,,1375-04-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,508,,1375-04-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
37 v - 37 v,509,,1375-04-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
37 v - 37 v,510,,1375-04-09,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
37 v - 37 v,511,,1375-04-09,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
38 r - 38 r,512,,1375-04-28,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
38 r - 38 r,513,,1375-04-28,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
38 r - 38 r,514,,1375-06-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
38 r - 38 r,515,,1375-06-07,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
38 r - 38 v,516,,1375-09-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
38 v - 38 v,517,,1375-09-19,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
38 v - 38 v,518,,1375-09-19,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
38 v - 38 v,519,,1375-10-03,,,,,Memorandum date,,,,,,,,,,,,,,,,,
38 v - 38 v,520,,[1375]-10-12,,,,,Memorandum date,,,,"Year not given, but presumably 1375",,,,,,,,,,,,,
38 v - 38 v,521,,1375-10-21,,,,,Memorandum date,,,,Date given as 'xxi primo die mensis octobr',,,,,,,,,,,,,
38 v - 38 v,522,,1375-10-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
38 v - 38 v,523,,1375-10-23,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
38 v - 39 r,524,,1375-11-20,,,,,Document date,Lythom',,,,1375-10-29,,,,,Document date,Ferryng',bishop's manor,,,,,
39 r - 39 r,525,,1375-11-20,,,,,Document date,Lythu',,,,,,,,,,,,,,,,
39 r - 39 r,526,,1375-11-20,,,,,Document date,Lythom,,,,,,,,,,,,,,,,
39 r - 39 r,527,,1375-11-20,,,,,Memorandum date,Lythom,,,,,,,,,,,,,,,,
39 r - 39 r,528,,1375-11-26,,,,,Document date,Seton,,,,[0000-00-00],,,,,,,,"Undated, but document appears with others dated in 1375",,,,
39 r - 39 r,529,,1375-11-26,,,,,Document date,Seton,,,"Dated 'as above', as entry 526",,,,,,,,,,,,,
39 r - 39 r,530,,1375-11-26,,,,,Document date,Seton,,,"Dated 'as above', as entry 526",,,,,,,,,,,,,
39 r - 39 v,531,,1375-11-30,,,,,Document date,Whitteby,,,,,,,,,,,,,,,,
39 v - 39 v,532,,1375-12-17,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
39 v - 39 v,533,,1375-12-17,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
39 v - 39 v,534,,1375-12-30,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
39 v - 39 v,535,,1375-12-03,,,,,Document date,Brompton',,,,,,,,,,,,,,,,
39 v - 39 v,536,,1376-04-10,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
39 v - 39 v,537,,1376-09-15,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
39 v - 39 v,538,,1376-04-17,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
39 v - 39 v,539,,1376-04-18,,,,,Memorandum date,,,,,,,,,,,,,,,,,
39 v - 39 v,540,,1376-05-10,,,,,Memorandum date,London',archbishop's manor near Westm',,,,,,,,,,,,,,,
39 v - 39 v,541,,1376-05-10,,,,,Memorandum date,,,,,,,,,,,,,,,,,
39 v - 39 v,542,,1376-07-01,,,,,Memorandum date,London',,,,,,,,,,,,,,,,
40 r - 40 r,543,,1376-06-10,,,,,Document date,London',archbishop's manor near Westm',,,,,,,,,,,,,,,
40 r - 40 r,544,,1376-06-10,,,,,Memorandum date,London',archbishop's manor near Westm',,,,,,,,,,,,,,,
40 r - 40 r,545,,1376-02-20,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
40 r - 40 r,546,,1376-09-10,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
40 r - 40 r,547,,1376-10-08,,,,,Document date,London',,,,,,,,,,,,,,,,
40 r - 40 r,548,,1376-12-22,,,,,Memorandum date,,,,,,,,,,,,,,,,,
40 r - 40 r,549,,1376-12-23,,,,,Document date,Thorp iuxta Ebor,,,,,,,,,,,,,,,,
40 v - 40 v,550,,1376-12-22,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
40 v - 40 v,551,,1377-01-05,,,,,Document date,Thorp'iuxta Ebor',,,,,,,,,,,,,,,,
40 v - 40 v,552,,1377-05-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
40 v - 40 v,553,,1377-05-06,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
40 v - 40 v,554,,1377-05-06,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
40 v - 40 v,555,,1377-05-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
40 v - 40 v,556,,1377-05-26,,,,,Memorandum date,,,,,,,,,,,,,,,,,
41 r - 41 r,557,,1377-06-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 r - 41 r,558,,1377-06-29,,,,,Memorandum date,,,,,,,,,,,,,,,,,
41 r - 41 r,559,,1377-09-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 r - 41 r,560,,1377-09-03,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 r - 41 r,561,,1377-09-03,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
41 r - 41 r,562,,1377-09-03,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
41 r - 41 r,563,,1377-10-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 r - 41 r,564,,1377-10-02,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
41 r - 41 r,565,,1377-10-02,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 r - 41 r,566,,1377-10-02,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
41 v - 41 v,567,,1377-12-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 v - 41 v,568,,1377-12-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
41 v - 41 v,569,,[1377-00-00],,,,,Memorandum date,,,,"Undated, but document appears with others dated in 1377",,,,,,,,,,,,,
41 v - 41 v,570,,1378-10-30,,,,,Document date,Gloucestr',,,,,,,,,,,,,,,,
41 v - 41 v,571,,1378-10-30,,,,,Memorandum date,Gloucestr',,,,,,,,,,,,,,,,
41 v - 41 v,572,,1378-11-00,,,,,Memorandum date,,,,Day of date is blank,,,,,,,,,,,,,
41 v - 41 v,573,,1378-12-05,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 v - 41 v,574,,1378-12-05,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
41 v - 41 v,575,,1378-12-20,,,,,Document date,Cawode,,,Dated 'on the day and in the year abovewritten',,,,,,,,,,,,,
41 v - 41 v,576,,1378-12-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
41 v - 41 v,576,,1378-12-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,577,,1379-02-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,578,,1379-02-13,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,579,,1379-04-30,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,580,,1379-04-30,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,581,,1379-08-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,582,,1379-08-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,583,,1379-10-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,584,,1379-10-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,585,,1379-00-00,,,,,Document date,Cawode,,,"No day or month given, therefore might be dated in 1379 or 1380",,,,,,,,,,,,,
42 r - 42 r,586,,1380-05-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,587,,1380-05-16,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,588,,1380-05-27,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
42 r - 42 r,589,,1380-09-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 r - 42 r,590,,1380-09-09,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
42 v - 42 v,591,,1380-07-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 v - 42 v,592,,1380-12-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
42 v - 42 v,593,,1381-03-14,,,,,Document date,Beverlac',,,,,,,,,,,,,,,,
42 v - 42 v,594,,1381-03-14,,,,,Memorandum date,Beverlac',,,,,,,,,,,,,,,,
42 v - 43 r,595,,1380-07-01,,,,,Document date,Stokeslay,,,,1380-07-01,,,,,Event date,,,,1380-06-30,Cawode,,
43 r - 43 r,596,,1381-04-20,,,,,Document date,Beverlac',archbishop's manor,,,,,,,,,,,,,,,
43 r - 43 r,597,,1381-04-20,,,,,Memorandum date,Beverlac',archbishop's manor,,,,,,,,,,,,,,,
43 r - 43 r,598,,1381-05-16,,,,,Document date,Beverlac',archbishop's manor,,,,,,,,,,,,,,,
43 r - 43 r,599,,[0000-00-00],,,,,Document date,,,,"Undated; incomplete, but document appears with others dated in 1381",,,,,,,,,,,,,
43 r - 43 r,600,,1382-10-27,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
43 r - 43 r,601,,1382-10-27,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
43 r - 43 r,602,,1382-11-02,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
43 r - 43 r,603,,1382-11-02,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
43 v - 43 v,604,,1382-08-09,,,,,Document date,Kildall,,,,,,,,,,,,,,,,
43 v - 43 v,605,,1382-11-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
43 v - 43 v,606,,1382-11-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
43 v - 43 v,607,,1382-11-22,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
43 v - 43 v,608,,1382-11-22,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
43 v - 43 v,609,,1383-01-29,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
43 v - 43 v,610,,1383-01-29,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
43 v - 43 v,611,,1382-07-22,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
43 v - 43 v,612,,[1383-10-17],,,,,Event date,in chapel within archbishop's manor of ***,archbishop's manor,,Entry relates to ceremony and mass the following day,,,,,,,,,,,,,
43 v - 43 v,613,,1383-10-17,,,,,Memorandum date,,,,Entry relates to mass and ceremony on the preceding day,[1383]-10-18,,,,,Event date,,,,,,,
43 v - 43 v,614,,1384-01-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
43 v - 43 v,615,,1384-01-07,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
44 r - 44 r,616,,1384-05-04,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
44 r - 44 r,617,,1384-05-04,,,,,Memorandum date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
44 r - 44 r,618,,1385-09-10,,,,,Document date,Beverlac',archbishop's manor,,Year appears to be 1385,,,,,,,,,,,,,
44 r - 44 r,619,,1385-09-10,,,,,Memorandum date,Beverlac',archbishop's manor,,Year appears to be 1385,,,,,,,,,,,,,
44 r - 44 r,620,,1387-05-06,,,,,Document date,Novum Burgum,chapter house,,,,,,,,,,,,,,,
44 v - 44 v,621,,[0000-10-04],,,,,Document date,Sandhoton',,,Recited document dated in November 1386,1386-11-25,,,,,Document date,Cawode,,,,,,
45 r - 45 v,622,,[0000-10-04],,,,,Document date,Sandhoton',,,Recited document dated in November 1386,1386-11-25,,,,,Document date,Cawode,,,,,,
46 r - 46 r,623,,1384-04-25,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
46 r - 46 v,624,,1384-04-25,,,,,Document date,Cawod,archbishop's manor,,,,,,,,,,,,,,,
47 r - 47 v,625,,1379-03-27,,,,,Document date,Cawode,,,,1376-06-26,,,,,Document date,villa nova, avinion' dioc',,,,,
47 v - 48 r,626,,[1379]-04-13,,,,,Document date,in loco hospital',"[Carthusian house, Hull]",,,,,,,,,,,,,,,
48 r - 49 r,627,,1380-7-31,,,,,Document date,Cawode,archbishop's manor,,,1380-06-15,,,,,Document date,"Rome, at St Peter's",,,,,,
49 r - 49 v,628,,1381-05-18,,,,,Document date,Beverlaico,archbishop's manor,,,,,,,,,,,,,,,
50 r - 50 r,629,,1381-05-06,,,,,Document date,Beverlaci,archbishop's manor,,,,,,,,,,,,,,,
50 r - 50 r,630,,1381-05-09,,,,,Document date,Sculcotes,,,,,,,,,,,,,,,,
50 v - 50 v,631,,1381-07-10,,,,,Document date,Beati Johannis Beverlac',collegiate church,,,,,,,,,,,,,,,
51 r - 51 r,632,,1381-07-13,,,,,Document date,Beverlaic',archbishop's manor,,,,,,,,,,,,,,,
51 v - 51 v,633,,1381-10-04,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
51 A r - 51 A v,634,,1386-00-00,,,,,Memorandum date,,,,Day and month are blank,,,,,,,,,,,,,
52 r - 52 r,635,,1374-10-14,,,,,Document date,London',,,,,,,,,,,,,,,,
52 r - 52 r,636,,[1374-10-14],,,,,Note date,,,,,,,,,,,,,,,,,
52 r - 52 r,637,,1374-10-28,,,,,Document date,London',,,,,,,,,,,,,,,,
52 r - 52 r,638,,1374-11-02,,,,,Document date,Clavering,,,,,,,,,,,,,,,,
52 r - 52 r,639,,[1374-11-02],,,,,Note date,,,,,,,,,,,,,,,,,
52 r - 52 r,640,,1374-11-15,,,,,Document date,Boroughbrig',,,,,,,,,,,,,,,,
52 r - 52 r,641,,[1374-11-15],,,,,Note date,,,,,,,,,,,,,,,,,
52 r - 52 r,642,,1374-12-04,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
52 r - 52 r,643,,1374-12-04,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
52 r - 52 r,644,,1374-12-08,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
52 r - 52 r,645,,1374-12-08,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
52 r - 52 r,646,,1374-12-19,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
52 v - 52 v,647,,1375-01-26,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
52 v - 52 v,648,,1375-01-26,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
52 v - 52 v,649,,1375-02-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
52 v - 52 v,650,,1375-02-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
52 v - 52 v,651,,1375-02-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
52 v - 52 v,652,,1375-03-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
52 v - 52 v,653,,1374-11-14,,,,,Memorandum date,Suthwell,,,,,,,,,,,,,,,,
52 v - 52 v,654,,[1374]-10-01,,,,,Memorandum date,Claveryng,,,Year as in entry above (no. 653),,,,,,,,,,,,,
52 v - 52 v,655,,1375-04-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
52 v - 52 v,656,,1375-04-18,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
53 r - 53 r,657,,1375-04-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
53 r - 53 r,658,,1375-04-13,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
53 r - 53 r,659,,1382-05-25,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
53 r - 53 r,660,,1382-05-25,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
53 r - 53 v,661,,1374-03-22,,,,,Document date,Ebor',,,,,,,,,,,,,,,,
53 v - 53 v,662,,1375-06-05,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
53 v - 53 v,663,,1375-06-05,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
53 v - 53 v,664,,1375-09-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
53 v - 53 v,665,,1375-09-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
53 v - 53 v,666,,1375-09-20,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
53 v - 53 v,667,,1375-09-23,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
53 v - 53 v,668,,1375-09-23,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
53 v - 53 v,669,,1375-09-26,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
53 v - 53 v,670,,1375-09-26,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
53 v - 53 v,671,,1374-11-16,,,,,Document date,Howton',,,,,,,,,,,,,,,,
53 v - 53 v,672,,1375-10-03,,,,,Memorandum date,,,,,,,,,,,,,,,,,
54 r - 54 r,673,,1375-10-07,,,,,Memorandum date,Beati Johannis Beverl',collegiate church,,,,,,,,,,,,,,,
54 r - 54 r,674,,1375-06-30,,,,,Document date,Beverl',,,,,,,,,,,,,,,,
54 r - 54 r,675,,1375-12-02,,,,,Document date,Brompton' in Pikeringlith',,,,,,,,,,,,,,,,
54 r - 54 r,676,,1375-12-02,,,,,Memorandum date,Brompton' in Pikeringlith',,,,,,,,,,,,,,,,
54 r - 54 r,677,,1376-02-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
54 r - 54 r,678,,1376-02-06,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
54 r - 54 r,679,,1376-02-06,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
54 r - 54 r,680,,1376-02-18,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
54 r - 54 r,681,,1376-02-18,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
54 r - 54 v,682,,1376-02-19,,,,,Document date,Seterington',,,Date of document is presumably the same as the date of induction given within,1387-02-18,,,,,Document date,Cawode,,,,,,
54 v - 54 v,683,,1376-02-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
54 v - 54 v,684,,1371-08-01,,,,,Document date,Watton',,,,,,,,,,,,,,,,
54 v - 54 v,685,,1376-03-19,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
54 v - 54 v,686,,1376-03-19,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
54 v - 54 v,687,,1380-08-14,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
54 v - 54 v,688,,1380-08-14,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
54 v - 55 r,689,,1376-03-10,,,,,Document date,Beverl',,,Dat of document is presumably the same as the date of meeting mentioned within,1376-03-04,,,,,Document date,Cawode,,,1376-03-03,Cawode,,
55 r - 55 r,690,,1376-04-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
55 r - 55 r,691,,1376-04-12,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
55 r - 55 r,692,,1376-04-14,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
55 r - 55 r,693,,1376-06-19,,,,,Memorandum date,,,,,,,,,,,,,,,,,
55 r - 55 r,694,,1376-07-31,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
55 r - 55 r,695,,1376-09-09,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
55 r - 55 v,696,,1376-09-12,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
55 v - 55 v,697,,1376-09-12,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
55 v - 55 v,698,,1376-09-12,,,,,Memorandum date,Cawod,,,,,,,,,,,,,,,,
55 v - 55 v,699,,1375-09-01,,,,,Document date,Beverl',,,,,,,,,,,,,,,,
55 v - 55 v,700,,1377-01-02,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
55 v - 55 v,701,,1377-01-04,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
55 v - 55 v,702,,1377-01-04,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
55 v - 55 v,703,,1377-01-04,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
55 v - 55 v,704,,1377-01-04,,,,,Memorandum date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
55 v - 55 v,705,,[1377-01-00],,,,,Memorandum date,,,,"Undated, but relating to institutions dated 2 January 1377",,,,,,,,,,,,,
55 v - 55 v,706,,[1377-01-00],,,,,Memorandum date,,,,"Undated, but relating to institutions dated 2 January 1377",,,,,,,,,,,,,
56 r - 56 r,707,,1377-01-08,,,,,Document date,Thorp' iuxta Ebor',archbishop's manor,,,,,,,,,,,,,,,
56 r - 56 r,708,,1377-01-11,,,,,Document date,Thorp',,,,,,,,,,,,,,,,
56 r - 56 v,709,,1377-05-11,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
56 v - 56 v,710,,1377-05-28,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
56 v - 56 v,711,,1377-06-02,,,,,Memorandum date,,,,,,,,,,,,,,,,,
56 v - 56 v,712,,1377-06-23,,,,,Memorandum date,,,,,,,,,,,,,,,,,
56 v - 56 v,713,,1377-06-28,,,,,Memorandum date,,,,,,,,,,,,,,,,,
56 v - 57 r,714,,1377-05-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
57 r - 57 r,715,,1377-06-29,,,,,Document date,,,,,,,,,,,,,,,,,
57 v - 57 v,716,,1377-08-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
57 v - 57 v,717,,1377-06-01,,,,,Document date,Bewik,,,,,,,,,,,,,,,,
57 v - 57 v,718,,1377-09-23,,,,,Event date,Cawode,archbishop's chancery,,,,,,,,,,,,,,,
57 v - 57 v,719,,1377-10-04,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
57 v - 57 v,720,,1377-10-04,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
58 r - 58 r,721,,1377-1126,,,,,Document date,London,,,,,,,,,,,,,,,,
58 r - 58 r,722,,1377-10-24,,,,,Event date,"Swyna, at the high altar",parish church,,,,,,,,,,,,,,,
58 r - 58 r,723,,[1377-10-24],,,,,Document date,"[Swyna, at the high altar]",,,"Notarial attestation, undated, but presumably made at the same time as the resignation to which it relates",,,,,,,,,,,,,
58 r - 58 r,724,,[1377-10-07],,,,,Memorandum date,,,,Document recited in return (entry 725),,,,,,,,,,,,,
58 r - 58 r,725,,1377-11-01,,,,,Document date,chapter,Ebor',,,1377-10-07,,,,,Document date,Cawode,,,,,,
58 v - 58 v,726,,1378-01-20,,,,,Document date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
58 v - 58 v,727,,1378-01-20,,,,,Memorandum date,Cawode,archbishop's manor,,,,,,,,,,,,,,,
58 v - 58 v,728,,1378-03-05,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
58 v - 58 v,729,,1378-04-15,,,,,Document date,Wilton',,,,,,,,,,,,,,,,
58 v - 58 v,730,,1377-05-18,,,,,Document date,Watton',,,,,,,,,,,,,,,,
