3197xm04j,Arthington,Isabel,,,Prioress of Hampole,1518-1539,http://www.cambridge.org/gb/academic/subjects/history/british-history-1066-1450/heads-religious-houses-england-and-wales-iii-13771540?format=PB,"Ardington,Arthyngton,Ardthyngton"
q811kj606,Ascham,Roger,1515-1568,,Prebendary of Wetwang,1559-1568,"http://www.british-history.ac.uk/search/series/fasti-ecclesiae,http://www.oxforddnb.com/",
6108vb24b,Asheburne,Christopher,d 1584,,"Prebendary of Tockerington; Prebendary of North Newbald\, 1575-1584",1571-1573,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
rx913p88g,Babthorpe,Robert,d 1570,,Subdean of York,1548-1570,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
qn59q396v,Acroide,Roger,d 1617,,Archdeacon of York,1600-1617,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,Acroid (CP)
zs25x844t,Aylmer,Theophilus,d ? 1626,,Prebendary of Botevant,1591-1626,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
2n49t1681,Atkinson,Thomas,d 1571,,Prebendary of Stillington,1560-1571,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
np193916n,Ardern,Thomas,,,Prebendary of Weighton,1556-1562,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
8049g504g,Banks,Henry,,,"Precentor of York; Prebendary of Riccall\, 1595-1613; Prebendary of Bugthorpe\, 1615-1623; Rector\, Setterington",1613-1615,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,Bankes (CP)
2v23vt362,Barlow,William,1544-1625,,Prebendary of Strensall,1617-? 1625,"http://www.oxforddnb.com/,http://www.british-history.ac.uk/search/series/fasti-ecclesiae",
p8418n20k,Bampton,Robert,,,Abbot of Easby,1511-1536,http://www.cambridge.org/gb/academic/subjects/history/british-history-1066-1450/heads-religious-houses-england-and-wales-iii-13771540?format=PB,
p8418n21v,Barkesdale,William,d ? 1629,,Prebendary of Barnby,1590-1629,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
c247ds08x,Barlow,Barnabas,d 1657,,Prebendary of Dunnington,1640-1657,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
8623hx72q,Banks,William,d 1641,,Prebendary of Bugthorpe,1623-1641,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
4q77fr32b,Bardon,John,d 1613,,Prebendary of Bugthorpe,1600-1613,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
dn39x152w,Bawdwyn,John,,,Prior of North Ferriby,1535-1536,http://www.cambridge.org/gb/academic/subjects/history/british-history-1066-1450/heads-religious-houses-england-and-wales-iii-13771540?format=PB,"Baldwyn,Bawdewyn"
gx41mh85d,Barnardiston,William,d ? 1554,,Prebendary of Grindal,1534-1554,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
c534fn92g,Bayley,Richard,? 1586-1667,,Archdeacon of Nottingham,1628-1635,"http://www.british-history.ac.uk/search/series/fasti-ecclesiae,http://www.oxforddnb.com/",Baylie (ODNB)
ft848q60n,Barnes,Emanuel,d 1614,,Prebendary of Fenton,1602-1614,http://www.british-history.ac.uk/search/series/fasti-ecclesiae,
