York,York and West Riding,Ainsty ,,Aberford,,,,,,
York,York and West Riding,Ainsty ,,Acaster Malbis,,,,,,
York,York and West Riding,Ainsty ,,Adel,,,,,,
York,York and West Riding,Ainsty ,,Askham Bryan,,,,,,
York,York and West Riding,Ainsty ,,Askham Richard,,,,,,
York,York and West Riding,Ainsty ,,Barwick in Elmet,,,,,,
York,York and West Riding,Ainsty ,,Bilbrough,,,,,,
York,York and West Riding,Ainsty ,,Bilton,,,,,,
York,York and West Riding,Ainsty ,,Birkin,,,,,,
York,York and West Riding,Ainsty ,,Bolton Percy,,,,,,
York,York and West Riding,Ainsty ,,Brayton,,,,,,
York,York and West Riding,Ainsty ,,Cowthorpe,,,,,,
York,York and West Riding,Ainsty ,,Drax,,,,,,
York,York and West Riding,Ainsty ,,Fewston,,,,,,
York,York and West Riding,Ainsty ,,Garforth,,,,,,
York,York and West Riding,Ainsty ,,Guiseley,,,,,,
York,York and West Riding,Ainsty ,,Harewood,,,,,,
York,York and West Riding,Ainsty ,,Healaugh,,,,,,
York,York and West Riding,Ainsty ,,Hutton Wandesley,,,,,,
York,York and West Riding,Ainsty ,,Kippax,,,,,,
York,York and West Riding,Ainsty ,,Kirk Deighton,,,,,,
York,York and West Riding,Ainsty ,,Kirkby Overblow,,,,,,
York,York and West Riding,Ainsty ,,Leathley,,,,,,
York,York and West Riding,Ainsty ,,Ledsham,,,,,,
York,York and West Riding,Ainsty ,,Leeds,,,,,,
York,York and West Riding,Ainsty ,,Moor Monkton,,,,,,
York,York and West Riding,Ainsty ,,Newton Kyme,,,,,,
York,York and West Riding,Ainsty ,,Pannal,,,,,,
York,York and West Riding,Ainsty ,,Rufforth,,,,,,
York,York and West Riding,Ainsty ,,Ryther,,,,,,
York,York and West Riding,Ainsty ,,Saxton,,,,,,
York,York and West Riding,Ainsty ,,Selby,,,,,,
York,York and West Riding,Ainsty ,,Spofforth,,,,,,
York,York and West Riding,Ainsty ,,Swillington,,,,,,
York,York and West Riding,Ainsty ,,Tadcaster,,,,,,
York,York and West Riding,Ainsty ,,Thorner,,,,,,
York,York and West Riding,Ainsty ,,Whitkirk,,,,,,
York,York and West Riding,Ainsty ,,Wighill,,,,,,
York,York and West Riding,Craven ,,Addingham,,,,,,
York,York and West Riding,Craven ,,Arncliffe,,,,,,
York,York and West Riding,Craven ,,Bingley,,,,,,
York,York and West Riding,Craven ,,Bolton-by-Bowland,,,,,,
York,York and West Riding,Craven ,,Bracewell,,,,,,
York,York and West Riding,Craven ,,Broughton,,,,,,
York,York and West Riding,Craven ,,Burnsall,,,,,,
York,York and West Riding,Craven ,,Carleton,,,,,,
York,York and West Riding,Craven ,,East Marton,,,,,,
York,York and West Riding,Craven ,,Gargrave,,,,,,
